"name","lat","lon","address","source","cat"
"Life Insurance Policy Exchange","-36.84876","174.76682","Auckland Central Auckland 1010 New Zealand","here","office"
"Vector Arena","-36.84704","174.77608","Auckland Central Auckland 1010 New Zealand","here","sports"
"Bay Audiology","-36.86331","174.7807","Parnell Auckland 1052 New Zealand","here","medical"
"Spa Auckland","-36.84049","174.76534","Auckland Central Auckland 1010 New Zealand","here","shop"
"Margarita's Bar","-36.85006","174.764021","Auckland Central Auckland 1010 New Zealand","here","bar"
"Jason Books","-36.84748","174.76724","Auckland Central Auckland 1010 New Zealand","here","shop"
"Parnell Rise Near Stanley St","-36.850552","174.77462","Auckland Central Auckland 1010 New Zealand","here","delete"
"Swig Cafe","-36.850009","174.764831","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Fabric","-36.84689","174.76677","Auckland Central Auckland 1010 New Zealand","here","shop"
"Bodybydesign","-36.85642","174.78016","Parnell Auckland 1052 New Zealand","here","office"
"Mayoral Drive Opposite Aut","-36.852702","174.765637","Mayoral Dr Auckland Central Auckland 1010 New Zealand","here","delete"
"A2b Car Rentals","-36.85115","174.77496","Auckland Central Auckland 1010 New Zealand","here","car"
"Seed Credit Limited","-36.84626","174.76639","Auckland Central Auckland 1010 New Zealand","here","office"
"International Art Centre","-36.85628","174.78101","Parnell Auckland 1052 New Zealand","here","activities"
"Beezneez Cafe","-36.84759","174.75928","1 Graham St Auckland Central Auckland 1010 New Zealand","here","cafe"
"BurgerFuel Customs Street","-36.844963","174.767304","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Whitcoulls","-36.84874","174.7654","203 Queen St Auckland Central Auckland 1010 New Zealand","here","shop"
"Decjuba","-36.847427","174.76681","Auckland Central Auckland 1010 New Zealand","here","shop"
"Hertz","-36.84785","174.759","Auckland Central Auckland 1010 New Zealand","here","car"
"Sebel Quay West Suites","-36.84492","174.76513","Auckland Central Auckland 1010 New Zealand","here","hotel"
"Auckland Hospital","-36.86008","174.77026","Grafton Auckland 1023 New Zealand","here","medical"
"Grand Windsor Hotel Auckland","-36.84556","174.76656","Auckland Central Auckland 1010 New Zealand","here","hotel"
"Yoshizawa","-36.84936","174.76585","Auckland Central Auckland 1010 New Zealand","here","cafe"
"58 Albert St","-36.84683","174.76424","61 Albert St Auckland Central Auckland 1010 New Zealand","here","delete"
"Sentinel Beach Reserve","-36.84335","174.735435","37 Sentinel Rd Herne Bay Auckland 1011 New Zealand","here","park"
"Intercity Bus Terminal","-36.84893","174.76122","Auckland Central Auckland 1010 New Zealand","here","delete"
"Quad Kitchen & Bar","-36.84864","174.77056","Auckland Central Auckland 1010 New Zealand","here","restaurant"
"Embroidme","-36.85189","174.75968","Auckland Central Auckland 1010 New Zealand","here","shop"
"Rogue Pole","-36.85968","174.74497","Grey Lynn Auckland 1021 New Zealand","here","sports"
"Fonterra","-36.84758","174.76943","Auckland Central Auckland 1010 New Zealand","here","office"
"100 Victoria St","-36.84796","174.76082","Auckland Central Auckland 1010 New Zealand","here","delete"
"Wellesley St Near Hobson St","-36.849923","174.761046","Wellesley St W Auckland Central Auckland 1010 New Zealand","here","delete"
"99 Albert St","-36.84879","174.76336","Albert St Auckland Central Auckland 1010 New Zealand","here","delete"
"Sail City Hotel","-36.8497","174.76038","Auckland Central Auckland 1010 New Zealand","here","hotel"
"Sky City Casino","-36.84919","174.7611","Auckland Central Auckland 1010 New Zealand","here","activities"
"Karen Walker","-36.84749","174.76711","Auckland Central Auckland 1010 New Zealand","here","shop"
"Pathfinder Book Shop","-36.85117","174.76556","Auckland Central Auckland 1010 New Zealand","here","shop"
"Fanshawe St Near Bradnor Lane","-36.845482","174.761739","Bradnor Ln Auckland Central Auckland 1010 New Zealand","here","delete"
